条码,产线信息,设备号,设备状态,目标温度（取锡）,到达时间（取锡）,持续时间（取锡）,释放时间（取锡）,释放温度（取锡）,能量PAIN（取锡）,焊头使用次数（取锡）,目标温度（焊接）,到达时间（焊接）,持续时间（焊接）,释放时间（焊接）,释放温度（焊接）,能量PAIN（焊接）,焊头使用次数（焊接）,目标温度（脱锡）,到达时间（脱锡）,持续时间（脱锡）,释放时间（脱锡）,释放温度（脱锡）,能量PAIN（脱锡）,焊头使用次数（脱锡）,缺陷,缺陷位置,实时温度,入料时间,出料时间
CY6HMPM21B20012450,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19946.0,405.0,20.0,20.0,0.0,395.0,190.0,19946.0,280.0,20.0,10.0,0.0,270.0,190.0,19946.0,"['', 'With_Glue2', '', '', '', '']","['', '2', '', '', '', '']",401.0,2021-11-25 09:50:48,2021-11-25 09:51:18
CY6HMPM21B20012626,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19947.0,405.0,20.0,20.0,0.0,395.0,190.0,19947.0,280.0,20.0,10.0,0.0,270.0,190.0,19947.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",401.0,2021-11-25 09:51:10,2021-11-25 09:51:41
CY6HMPM21B20011999,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19948.0,405.0,20.0,20.0,0.0,395.0,190.0,19948.0,280.0,20.0,10.0,0.0,270.0,190.0,19948.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",401.0,2021-11-25 09:51:32,2021-11-25 09:52:03
CY6HMPM21B20012473,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19949.0,405.0,20.0,20.0,0.0,395.0,190.0,19949.0,280.0,20.0,10.0,0.0,270.0,190.0,19949.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",398.0,2021-11-25 09:51:55,2021-11-25 09:52:25
CY6HMPM21B20012632,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19950.0,405.0,20.0,20.0,0.0,395.0,190.0,19950.0,280.0,20.0,10.0,0.0,270.0,190.0,19950.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",392.0,2021-11-25 09:52:17,2021-11-25 09:52:48
CY6HMPM21B20012477,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19951.0,405.0,20.0,20.0,0.0,395.0,190.0,19951.0,280.0,20.0,10.0,0.0,270.0,190.0,19951.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",398.0,2021-11-25 09:52:40,2021-11-25 09:53:10
CY6HMPM21B20012460,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19952.0,405.0,20.0,20.0,0.0,395.0,190.0,19952.0,280.0,20.0,10.0,0.0,270.0,190.0,19952.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",399.0,2021-11-25 09:53:03,2021-11-25 09:53:33
CY6HMPM21B20012638,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19953.0,405.0,20.0,20.0,0.0,395.0,190.0,19953.0,280.0,20.0,10.0,0.0,270.0,190.0,19953.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",403.0,2021-11-25 09:53:25,2021-11-25 09:53:55
CY6HMPM21B20012453,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19954.0,405.0,20.0,20.0,0.0,395.0,190.0,19954.0,280.0,20.0,10.0,0.0,270.0,190.0,19954.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",394.0,2021-11-25 09:53:47,2021-11-25 09:54:18
CY6HMPM21B20012486,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19955.0,405.0,20.0,20.0,0.0,395.0,190.0,19955.0,280.0,20.0,10.0,0.0,270.0,190.0,19955.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",398.0,2021-11-25 09:54:10,2021-11-25 09:54:40
