进料,出料,节拍,打胶完成,边框放到位,组框完成,长边扭矩1,长边扭矩2,短边扭矩1,短边扭矩2,边框1出胶量,边框2出胶量,边框3出胶量,边框4出胶量,打胶时间
2021-11-19 19:55:54,2021-11-19 20:08:33,759,08 11,08 19,08 28,26,21,46,45,84,42,43,84,35
2021-11-19 20:08:33,2021-11-19 20:09:54,81,08 30,08 41,08 51,26,22,47,46,82,44,44,83,38
2021-11-19 20:09:54,2021-11-19 20:10:16,22,08 49,10 02,10 11,26,22,46,45,85,42,42,84,19
2021-11-19 20:10:16,2021-11-19 20:10:36,20,10 06,10 19,10 30,26,22,47,46,84,43,43,84,19
2021-11-19 20:10:36,2021-11-19 20:11:05,29,10 26,10 39,10 50,27,23,47,46,84,43,43,84,19
2021-11-19 20:11:05,2021-11-19 20:11:42,37,10 44,10 58,11 19,26,23,46,45,84,43,44,83,19
2021-11-19 20:11:42,2021-11-19 20:12:13,31,11 03,11 28,11 56,26,24,46,45,84,44,43,84,19
2021-11-19 20:12:13,2021-11-19 20:12:43,30,11 33,12 05,12 27,26,22,46,45,84,43,43,84,19
2021-11-19 20:12:43,2021-11-19 20:13:12,29,12 09,12 35,12 57,26,23,46,45,83,44,44,83,18
2021-11-19 20:13:12,2021-11-19 20:13:47,35,12 40,13 06,13 26,26,22,46,45,85,42,43,83,19
2021-11-19 20:13:47,2021-11-19 20:14:22,35,13 10,13 34,14 01,26,23,46,45,83,44,44,83,19
2021-11-19 20:14:22,2021-11-19 20:14:57,35,13 39,14 09,14 36,26,22,46,45,84,42,43,83,19
2021-11-19 20:14:57,2021-11-19 20:15:32,35,14 14,14 45,15 12,26,23,46,45,84,43,43,83,19
2021-11-19 20:15:32,2021-11-19 20:15:59,27,14 50,15 20,15 46,26,23,46,45,83,44,44,82,17
2021-11-19 20:15:59,2021-11-19 20:16:34,35,15 25,15 54,16 14,26,23,46,46,83,45,44,83,18
2021-11-19 20:16:34,2021-11-19 20:17:14,40,15 59,16 22,16 48,26,22,46,45,82,43,43,83,18
2021-11-19 20:17:14,2021-11-19 20:17:53,39,16 27,16 57,17 28,26,22,45,45,83,45,44,83,19
2021-11-19 20:17:53,2021-11-19 20:18:31,38,17 02,17 36,18 07,26,22,45,45,83,44,44,84,18
2021-11-19 20:18:31,2021-11-19 20:19:02,31,17 41,18 15,18 45,26,23,45,44,81,44,45,82,18
2021-11-19 20:19:02,2021-11-19 20:19:40,38,18 20,18 53,19 17,26,23,45,45,83,44,44,82,19
2021-11-19 20:19:40,2021-11-19 20:20:11,31,18 58,19 25,19 54,25,22,45,45,84,43,43,83,18
2021-11-19 20:20:11,2021-11-19 20:20:46,35,19 30,20 02,20 25,26,23,46,45,82,45,44,82,19
2021-11-19 20:20:46,2021-11-19 20:21:13,27,20 07,20 34,21 00,26,23,45,45,83,44,43,83,18
2021-11-19 20:21:13,2021-11-19 20:21:47,34,20 38,21 08,21 27,26,24,46,45,84,42,43,83,18
2021-11-19 20:21:47,2021-11-19 20:22:26,39,21 13,21 36,22 01,26,24,45,45,85,43,43,83,19
2021-11-19 20:22:26,2021-11-19 20:22:58,32,21 41,22 09,22 40,27,25,45,45,84,42,43,84,19
2021-11-19 20:22:58,2021-11-19 20:23:27,29,22 14,22 49,23 12,26,23,45,45,82,45,44,83,19
2021-11-19 20:23:27,2021-11-19 20:24:03,36,22 53,23 21,23 42,25,22,46,45,84,44,44,83,19
2021-11-19 20:24:03,2021-11-19 20:24:44,41,23 25,23 50,24 18,26,22,45,45,81,45,45,82,19
2021-11-19 20:24:44,2021-11-19 20:25:27,43,23 55,24 26,24 59,26,22,45,45,83,45,44,82,19
2021-11-19 20:26:09,2021-11-19 20:26:38,29,25 12,25 49,26 24,26,24,45,45,82,44,44,82,18
2021-11-19 20:26:38,2021-11-19 20:27:07,29,25 54,26 32,26 52,26,23,46,45,84,43,43,83,18
2021-11-19 20:27:07,2021-11-19 20:27:29,22,26 37,27 01,27 21,26,23,46,45,83,44,44,84,19
2021-11-19 20:27:29,2021-11-19 20:27:51,22,27 06,27 30,27 43,27,24,46,45,84,42,42,84,18
2021-11-19 20:27:51,2021-11-19 20:28:27,36,27 35,27 51,28 05,27,23,46,45,84,42,42,84,19
2021-11-19 20:28:56,2021-11-19 20:29:23,27,28 19,28 50,29 11,26,23,46,45,82,45,44,82,19
2021-11-19 20:29:23,2021-11-19 20:29:48,25,28 55,29 19,29 37,26,22,46,45,82,43,44,83,18
2021-11-19 20:29:48,2021-11-19 20:30:13,25,29 24,29 45,30 02,26,22,46,45,85,42,43,84,18
2021-11-19 20:30:13,2021-11-19 20:30:39,26,29 50,30 10,30 27,26,22,46,45,83,45,45,82,18
