state1,state2,state3,state4,state4,time
0,0,0,0,0,2021/11/19 20:00
1,0,0,0,0,2021/11/19 20:02
1,1,0,0,0,2021/11/19 20:07
0,1,0,0,0,2021/11/19 20:09
1,1,0,0,0,2021/11/19 20:10
2,1,0,0,0,2021/11/19 20:11
1,1,0,0,0,2021/11/19 20:11
2,1,0,0,0,2021/11/19 20:11
1,1,0,0,0,2021/11/19 20:12
2,1,0,0,0,2021/11/19 20:12
1,1,0,0,0,2021/11/19 20:13
2,1,0,0,0,2021/11/19 20:13
1,1,0,0,0,2021/11/19 20:13
2,1,0,0,0,2021/11/19 20:13
1,1,0,0,0,2021/11/19 20:14
2,1,0,0,0,2021/11/19 20:14
1,1,0,0,0,2021/11/19 20:14
2,1,0,0,0,2021/11/19 20:15
1,1,0,0,0,2021/11/19 20:15
2,1,0,0,0,2021/11/19 20:15
1,1,0,0,0,2021/11/19 20:15
2,1,0,0,0,2021/11/19 20:16
1,1,0,0,0,2021/11/19 20:16
2,1,0,0,0,2021/11/19 20:16
1,1,0,0,0,2021/11/19 20:16
2,1,0,0,0,2021/11/19 20:17
1,1,0,0,0,2021/11/19 20:17
2,1,0,0,0,2021/11/19 20:17
1,1,0,0,0,2021/11/19 20:18
2,1,0,0,0,2021/11/19 20:18
1,1,0,0,0,2021/11/19 20:18
2,1,0,0,0,2021/11/19 20:19
1,1,0,0,0,2021/11/19 20:19
2,1,0,0,0,2021/11/19 20:19
1,1,0,0,0,2021/11/19 20:20
2,1,0,0,0,2021/11/19 20:20
1,1,0,0,0,2021/11/19 20:20
2,1,0,0,0,2021/11/19 20:20
1,1,0,0,0,2021/11/19 20:21
2,1,0,0,0,2021/11/19 20:21
1,1,0,0,0,2021/11/19 20:21
2,1,0,0,0,2021/11/19 20:21
1,1,0,0,0,2021/11/19 20:22
2,1,0,0,0,2021/11/19 20:22
1,1,0,0,0,2021/11/19 20:22
2,1,0,0,0,2021/11/19 20:23
1,1,0,0,0,2021/11/19 20:23
2,1,0,0,0,2021/11/19 20:23
1,1,0,0,0,2021/11/19 20:23
2,1,0,0,0,2021/11/19 20:24
1,1,0,0,0,2021/11/19 20:24
2,1,0,0,0,2021/11/19 20:24
1,1,0,0,0,2021/11/19 20:25
2,1,0,0,0,2021/11/19 20:25
1,1,0,0,0,2021/11/19 20:25
