组框机状态,打胶机状态,打胶机是否缺胶,打胶机是否缺料,打胶机是否急停,时间
暂停,空闲,否,否,否,2021-11-19 20:00:04
自动,空闲,否,否,否,2021-11-19 20:02:12
自动,运行中,否,否,否,2021-11-19 20:07:58
暂停,运行中,否,否,否,2021-11-19 20:09:53
自动,运行中,否,否,否,2021-11-19 20:10:12
堵线,运行中,否,否,否,2021-11-19 20:11:17
自动,运行中,否,否,否,2021-11-19 20:11:28
堵线,运行中,否,否,否,2021-11-19 20:11:47
自动,运行中,否,否,否,2021-11-19 20:12:03
堵线,运行中,否,否,否,2021-11-19 20:12:22
自动,运行中,否,否,否,2021-11-19 20:13:10
堵线,运行中,否,否,否,2021-11-19 20:13:24
自动,运行中,否,否,否,2021-11-19 20:13:34
堵线,运行中,否,否,否,2021-11-19 20:13:51
自动,运行中,否,否,否,2021-11-19 20:14:07
堵线,运行中,否,否,否,2021-11-19 20:14:26
自动,运行中,否,否,否,2021-11-19 20:14:45
堵线,运行中,否,否,否,2021-11-19 20:15:04
自动,运行中,否,否,否,2021-11-19 20:15:20
堵线,运行中,否,否,否,2021-11-19 20:15:39
自动,运行中,否,否,否,2021-11-19 20:15:52
堵线,运行中,否,否,否,2021-11-19 20:16:12
自动,运行中,否,否,否,2021-11-19 20:16:20
堵线,运行中,否,否,否,2021-11-19 20:16:39
自动,运行中,否,否,否,2021-11-19 20:16:55
堵线,运行中,否,否,否,2021-11-19 20:17:14
自动,运行中,否,否,否,2021-11-19 20:17:35
堵线,运行中,否,否,否,2021-11-19 20:17:55
自动,运行中,否,否,否,2021-11-19 20:18:20
堵线,运行中,否,否,否,2021-11-19 20:18:33
自动,运行中,否,否,否,2021-11-19 20:18:57
堵线,运行中,否,否,否,2021-11-19 20:19:10
自动,运行中,否,否,否,2021-11-19 20:19:24
堵线,运行中,否,否,否,2021-11-19 20:19:44
自动,运行中,否,否,否,2021-11-19 20:20:02
堵线,运行中,否,否,否,2021-11-19 20:20:21
自动,运行中,否,否,否,2021-11-19 20:20:32
堵线,运行中,否,否,否,2021-11-19 20:20:52
自动,运行中,否,否,否,2021-11-19 20:21:08
堵线,运行中,否,否,否,2021-11-19 20:21:28
自动,运行中,否,否,否,2021-11-19 20:21:36
堵线,运行中,否,否,否,2021-11-19 20:21:55
自动,运行中,否,否,否,2021-11-19 20:22:08
堵线,运行中,否,否,否,2021-11-19 20:22:28
